Type,Final Price,Unit Price,Flooring,Parking Space
"
0                                            ",125,9.7,4.29,"
0                                            "
"
1                                            ",100,10.4,0.73,"
0                                            "
"
2                                            ",1300,21.9,37.49,"
0                                            "
"
3                                            ",1930,19.0,44.22,"
0                                            "
"
2                                            ",1530,22.4,26.68,"
1                                            "
"
2                                            ",1460,40.4,19.46,"
0                                            "
"
2                                            ",1060,16.4,26.41,"
1                                            "
"
2                                            ",600,17.5,23.29,"
0                                            "
"
2                                            ",768,11.7,22.18,"
0                                            "
"
2                                            ",515,18.9,22.39,"
0                                            "
"
2                                            ",526,15.2,29.34,"
0                                            "
"
3                                            ",1880,23.2,18.76,"
1                                            "
"
2                                            ",480,16.7,16.77,"
0                                            "
"
1                                            ",128,10.7,2.12,"
0                                            "
"
3                                            ",1120,12.6,31.70,"
1                                            "
"
2                                            ",500,22.1,25.71,"
0                                            "
"
2                                            ",620,24.7,26.52,"
1                                            "
"
0                                            ",420,17.6,7.07,"
0                                            "
"
0                                            ",310,10.1,14.07,"
0                                            "
"
0                                            ",265,9.8,6.67,"
0                                            "
"
2                                            ",800,12.9,25.08,"
1                                            "
"
3                                            ",868,14.3,12.52,"
0                                            "
"
2                                            ",1048,36.7,31.18,"
1                                            "
"
2                                            ",1200,18.3,31.94,"
1                                            "
"
2                                            ",788,30.3,26.32,"
0                                            "
"
2                                            ",1505,16.2,50.25,"
1                                            "
"
1                                            ",132,11.3,1.96,"
0                                            "
"
2                                            ",1880,24.7,27.23,"
0                                            "
"
0                                            ",420,9.4,21.76,"
1                                            "
"
0                                            ",330,8.2,7.81,"
0                                            "
"
2                                            ",1260,18.0,30.55,"
1                                            "
"
2                                            ",505,8.0,32.58,"
1                                            "
"
3                                            ",850,21.5,27.49,"
0                                            "
"
2                                            ",768,15.2,23.99,"
1                                            "
"
2                                            ",1450,20.1,25.89,"
0                                            "
"
2                                            ",1600,13.5,84.70,"
0                                            "
"
2                                            ",980,20.1,32.18,"
0                                            "
"
0                                            ",285,7.6,13.95,"
0                                            "
"
0                                            ",271,15.2,4.12,"
0                                            "
"
2                                            ",1220,16.9,22.90,"
1                                            "
"
2                                            ",250,15.4,0.00,"
0                                            "
"
2                                            ",1100,26.6,25.71,"
0                                            "
"
2                                            ",875,16.1,31.26,"
1                                            "
"
0                                            ",66,8.6,1.90,"
0                                            "
"
0                                            ",298,10.7,12.74,"
0                                            "
"
0                                            ",170,5.8,14.93,"
0                                            "
"
2                                            ",600,11.6,32.12,"
1                                            "
"
2                                            ",450,15.6,23.72,"
0                                            "
"
2                                            ",1165,23.0,25.34,"
0                                            "
"
2                                            ",1033,19.4,22.21,"
0                                            "
"
1                                            ",39,9.5,1.46,"
0                                            "
"
2                                            ",1030,19.4,22.25,"
0                                            "
"
1                                            ",41,10.6,1.37,"
0                                            "
"
2                                            ",1015,19.1,22.04,"
0                                            "
"
2                                            ",1030,22.1,66.08,"
0                                            "
"
0                                            ",135,12.5,8.59,"
0                                            "
"
2                                            ",850,13.4,28.13,"
0                                            "
"
1                                            ",110,8.9,2.04,"
0                                            "
"
0                                            ",350,12.5,8.48,"
0                                            "
"
1                                            ",85,8.5,2.11,"
0                                            "
"
1                                            ",92,13.2,1.20,"
0                                            "
